Income_Category,Card_Category,Education_Level,Customer_Age,Dependent_count,Attrition,Credit_Limit,CLIENT_ID,Gender,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Marital_Status,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
$80K - $120K,Blue,College,48,2,Attrited Customer,2111,779216358,M,38,2,2,3,Married,0,2111,0.531,773,17,0.133,0,0.99466,0.00534
$80K - $120K,Blue,Unknown,55,2,Existing Customer,10604,717322833,M,36,5,2,2,Single,1988,8616,0.644,1578,30,0.579,0.187,0.00012511,0.99987
$80K - $120K,Blue,Graduate,52,2,Existing Customer,21782,710279508,M,42,5,3,2,Married,1006,20776,0.654,1537,35,0.591,0.046,0.00017987,0.99982
Less than $40K,Blue,High School,52,1,Existing Customer,2133,712168833,F,36,6,3,3,Married,1469,664,0.831,1426,37,0.682,0.689,0.00027604,0.99972
$40K - $60K,Silver,Doctorate,58,1,Existing Customer,16677,780581508,F,47,5,2,4,Single,1590,15087,0.885,1410,37,0.609,0.095,0.00040077,0.9996
Less than $40K,Blue,Graduate,38,2,Existing Customer,2717,711957708,F,36,6,3,4,Married,1591,1126,1.596,2064,33,1.062,0.586,0.000516,0.99948
Less than $40K,Blue,Graduate,60,1,Existing Customer,3980,778782858,M,48,5,3,3,Single,930,3050,0.72,4449,82,0.608,0.234,0.00028395,0.99972
$60K - $80K,Blue,Unknown,55,3,Attrited Customer,8411,712924383,M,36,3,2,2,Single,979,7432,1.029,990,22,0.375,0.116,0.99236,0.00764
Less than $40K,Blue,College,43,3,Existing Customer,2227,709366458,F,36,3,2,4,Married,1394,833,1.481,1972,41,0.864,0.626,0.00032945,0.99967
$80K - $120K,Silver,Post-Graduate,35,3,Existing Customer,34516,796990908,M,29,5,3,2,Single,1872,32644,1.068,2227,61,1.103,0.054,0.00019844,0.9998
Less than $40K,Blue,Graduate,38,4,Existing Customer,1860,715702758,F,36,4,3,3,Married,0,1860,0.992,1731,29,0.611,0,0.00031726,0.99968
$60K - $80K,Blue,Graduate,48,3,Existing Customer,2829,788974608,M,35,5,1,3,Unknown,2342,487,0.991,1561,41,1.05,0.828,9.61E-05,0.9999
Less than $40K,Blue,Unknown,38,1,Existing Customer,3764,714790008,F,36,3,2,3,Single,0,3764,0.583,1572,57,0.357,0,0.00019751,0.9998
$40K - $60K,Blue,College,43,3,Existing Customer,4559,787438983,M,23,6,2,2,Single,1664,2895,0.871,1652,37,0.609,0.365,0.00011483,0.99989
Less than $40K,Blue,Post-Graduate,36,2,Existing Customer,4701,713834358,F,25,5,3,4,Married,1492,3209,0.805,1679,32,0.455,0.317,0.00060712,0.99939
$80K - $120K,Blue,College,34,2,Existing Customer,1631,710084883,M,22,4,2,4,Married,0,1631,1.893,2962,57,1.111,0,0.00031749,0.99968
Unknown,Blue,Unknown,39,2,Existing Customer,8096,710736558,F,36,4,3,4,Married,1474,6622,0.789,1794,41,0.783,0.182,0.00056716,0.99943
Less than $40K,Blue,College,43,2,Existing Customer,2304,788915283,F,29,5,1,2,Single,1589,715,0.872,1273,36,0.895,0.69,5.35E-05,0.99995
$40K - $60K,Blue,Uneducated,48,2,Existing Customer,5210,714916758,F,36,3,3,2,Married,0,5210,0.531,1309,45,0.607,0,0.00018494,0.99982
$40K - $60K,Blue,Graduate,44,4,Existing Customer,5452,789611283,M,38,5,2,3,Married,2091,3361,0.813,1347,30,0.5,0.384,0.00020077,0.9998
$60K - $80K,Blue,Graduate,38,1,Existing Customer,7475,773288958,M,31,6,3,3,Married,1473,6002,0.775,1592,30,0.429,0.197,0.00028395,0.99972
$40K - $60K,Blue,High School,62,1,Existing Customer,2359,811721133,M,56,5,3,3,Married,1242,1117,1.043,2021,50,0.613,0.526,0.00027604,0.99972
$80K - $120K,Blue,Unknown,30,0,Existing Customer,4237,813961233,M,25,5,2,2,Single,1676,2561,0.786,2465,88,0.725,0.396,0.00010736,0.99989
$80K - $120K,Blue,Unknown,39,3,Existing Customer,18582,783020958,M,33,6,6,4,Married,794,17788,0.717,1836,46,0.586,0.043,0.00046462,0.99954
Less than $40K,Blue,High School,53,3,Existing Customer,7202,715764483,F,37,3,2,4,Unknown,974,6228,0.517,1397,33,0.5,0.135,0.00032942,0.99967
$40K - $60K,Blue,High School,64,1,Existing Customer,1438.3,798110358,F,56,4,2,4,Married,0,1438.3,0.693,1417,35,0.591,0,0.00029799,0.9997
Unknown,Blue,Graduate,51,4,Existing Customer,11221,715745508,F,34,3,1,2,Single,1279,9942,1.116,1564,45,1.647,0.114,5.78E-05,0.99994
Unknown,Blue,Graduate,32,1,Existing Customer,18889,714350658,M,26,6,3,4,Single,1880,17009,0.702,2979,55,0.774,0.1,0.00048435,0.99952
$80K - $120K,Blue,College,52,1,Existing Customer,2066,826478958,M,48,4,3,3,Married,1601,465,0.742,1578,41,0.414,0.775,0.00027607,0.99972
$80K - $120K,Blue,High School,43,2,Existing Customer,34516,719127558,M,31,6,2,4,Divorced,1075,33441,0.727,3015,65,0.477,0.031,0.00031746,0.99968
$60K - $80K,Blue,Graduate,40,5,Existing Customer,2742,712454958,M,27,6,1,2,Single,1416,1326,0.761,1539,38,1.111,0.516,5.69E-05,0.99994
$60K - $80K,Blue,High School,54,1,Existing Customer,20050,718561458,M,36,4,1,4,Married,1225,18825,0.907,1306,26,0.238,0.061,0.00014421,0.99986
Less than $40K,Blue,High School,34,4,Existing Customer,3046,822984108,F,30,4,1,3,Single,2279,767,0.611,2330,69,0.643,0.748,9.44E-05,0.99991
Less than $40K,Blue,High School,33,1,Existing Customer,6193,719469333,F,25,6,3,4,Single,695,5498,0.632,2456,69,0.725,0.112,0.00047086,0.99953
$80K - $120K,Blue,Graduate,36,2,Existing Customer,5634,720871383,M,28,5,3,3,Married,1996,3638,1.589,2366,49,0.69,0.354,0.00030251,0.9997
Less than $40K,Blue,Graduate,65,1,Existing Customer,4507,788827308,M,50,6,2,4,Married,1574,2933,0.744,1793,38,0.652,0.349,0.00030653,0.99969
$40K - $60K,Blue,High School,43,3,Existing Customer,3040,710180958,M,33,5,2,3,Single,2517,523,0.493,1598,31,0.476,0.828,0.00019311,0.99981
$120K +,Blue,Graduate,53,0,Existing Customer,21006,778346283,M,33,4,3,3,Married,1905,19101,0.701,1856,57,0.781,0.091,0.0002596,0.99974
Less than $40K,Blue,College,48,3,Existing Customer,7326,787547208,F,38,3,3,4,Single,1710,5616,1.171,1852,62,1,0.233,0.00052057,0.99948
Less than $40K,Blue,High School,39,3,Attrited Customer,3651,714983283,F,36,6,1,3,Single,0,3651,0.977,862,19,1.111,0,0.98941,0.01059
Less than $40K,Blue,Unknown,57,1,Existing Customer,3416,789344358,F,47,4,1,3,Married,2468,948,0.598,1536,42,0.556,0.722,9.56E-05,0.9999
Unknown,Blue,Uneducated,51,3,Attrited Customer,3664,710406633,F,36,3,3,2,Married,0,3664,0.839,1168,31,0.409,0,0.99482,0.00518
$60K - $80K,Blue,Graduate,48,3,Existing Customer,6085,767653233,M,42,6,1,3,Married,930,5155,1.307,3154,59,0.967,0.153,9.61E-05,0.9999
$60K - $80K,Blue,High School,51,2,Existing Customer,22332,719461008,M,38,5,3,2,Married,1748,20584,0.841,1318,28,0.647,0.078,0.00017486,0.99983
Less than $40K,Blue,Unknown,26,0,Existing Customer,2063,789731433,F,13,4,2,4,Single,1390,673,0.877,2602,42,0.556,0.674,0.00030803,0.99969
Less than $40K,Blue,Graduate,38,2,Existing Customer,4429,775198608,F,32,5,3,3,Married,0,4429,1.065,1970,40,0.818,0,0.00030251,0.9997
$60K - $80K,Blue,Graduate,35,3,Existing Customer,3991,717567333,M,26,6,3,2,Married,1982,2009,0.748,1661,35,0.944,0.497,0.00018665,0.99981
Less than $40K,Blue,Doctorate,46,3,Existing Customer,2201,772794108,F,36,5,1,4,Single,651,1550,0.825,3165,65,0.585,0.296,0.0002373,0.99976
$80K - $120K,Blue,College,48,4,Existing Customer,2852,712072908,M,36,4,3,2,Single,736,2116,0.386,1382,40,0.29,0.258,0.0001834,0.99982
Less than $40K,Blue,Uneducated,49,2,Existing Customer,9723,709328733,F,37,6,3,3,Married,2459,7264,0.444,1258,24,1,0.253,0.00031104,0.99969
$40K - $60K,Blue,High School,35,4,Existing Customer,5325,788107683,M,27,6,2,3,Married,1318,4007,1.045,1814,43,0.593,0.248,0.00019517,0.9998
$40K - $60K,Blue,Unknown,65,0,Existing Customer,7427,713757633,F,56,3,2,4,Married,1303,6124,0.61,1596,42,0.909,0.175,0.00030803,0.99969
$60K - $80K,Blue,Unknown,53,2,Existing Customer,5619,713279808,M,36,6,3,3,Married,1310,4309,1.276,1816,30,1.143,0.233,0.00033251,0.99967
Less than $40K,Blue,Uneducated,54,2,Existing Customer,5413,712440483,F,44,3,1,3,Married,1836,3577,0.766,1164,43,0.593,0.339,9.52E-05,0.9999
Unknown,Blue,Graduate,64,0,Existing Customer,7646,715078383,F,36,3,1,3,Married,1010,6636,0.421,1667,47,0.469,0.132,7.95E-05,0.99992
Unknown,Blue,Graduate,39,3,Existing Customer,2420,709214358,F,30,3,3,2,Divorced,1422,998,0.731,1362,24,0.714,0.588,0.00018665,0.99981
$80K - $120K,Blue,High School,50,0,Existing Customer,4252,778399008,M,30,3,4,2,Married,0,4252,0.478,1598,45,0.324,0,0.00018134,0.99982
Less than $40K,Blue,Graduate,54,3,Existing Customer,2031,811534983,F,49,5,2,4,Married,1069,962,0.87,1943,47,0.621,0.526,0.00033886,0.99966
Unknown,Blue,Graduate,38,4,Existing Customer,6861,719728383,F,28,4,1,2,Married,1598,5263,2.103,2228,39,0.95,0.233,5.78E-05,0.99994
$80K - $120K,Blue,High School,39,1,Existing Customer,3327,718726833,M,28,4,2,4,Married,0,3327,1.089,1665,36,0.636,0,0.00029799,0.9997
$40K - $60K,Blue,Unknown,53,1,Existing Customer,2885,780605508,M,41,5,1,3,Married,1433,1452,1.017,1170,23,0.769,0.497,9.56E-05,0.9999
$120K +,Blue,High School,53,2,Existing Customer,7272,719450508,M,41,4,3,3,Married,2037,5235,0.795,2333,56,0.697,0.28,0.00029408,0.99971
$80K - $120K,Blue,College,32,1,Existing Customer,34516,711213108,M,36,5,3,4,Divorced,0,34516,0.845,2305,60,0.714,0,0.00047091,0.99953
Less than $40K,Blue,Uneducated,57,3,Existing Customer,2515,708488208,F,47,5,3,3,Married,1922,593,1.181,2231,58,0.611,0.764,0.00032275,0.99968
Less than $40K,Blue,High School,65,0,Existing Customer,2798,717206508,F,36,3,2,2,Married,1806,992,0.765,1543,35,0.591,0.645,9.50E-05,0.99991
$80K - $120K,Blue,Uneducated,57,2,Existing Customer,34516,821836008,M,53,5,2,4,Single,2099,32417,0.629,1233,26,0.857,0.061,0.00033577,0.99966
Less than $40K,Blue,College,65,0,Existing Customer,1438.3,807244983,F,56,6,1,2,Married,680,758.3,0.512,2283,55,0.571,0.473,4.60E-05,0.99995
Less than $40K,Silver,High School,65,0,Existing Customer,12609,821872758,M,56,4,2,4,Single,2517,10092,0.833,2121,49,0.531,0.2,0.00024617,0.99975
$80K - $120K,Blue,College,55,2,Existing Customer,19159,809959683,M,50,4,2,4,Married,2108,17051,0.69,1813,52,0.576,0.11,0.00031749,0.99968
$80K - $120K,Blue,College,54,1,Existing Customer,9642,715079208,M,42,4,1,4,Married,2517,7125,0.614,1401,35,0.458,0.261,0.00014422,0.99986
$120K +,Blue,High School,44,4,Existing Customer,8396,767049258,M,37,5,3,3,Single,1672,6724,0.602,1475,35,0.75,0.199,0.00030842,0.99969
$80K - $120K,Blue,Uneducated,58,1,Existing Customer,6978,709579383,M,50,5,3,2,Married,1148,5830,1.645,1362,26,1,0.165,0.0001736,0.99983
$40K - $60K,Blue,College,53,1,Existing Customer,2459,781923483,F,47,3,3,4,Married,1733,726,1.216,2309,62,0.632,0.705,0.00047091,0.99953
Less than $40K,Silver,High School,33,1,Existing Customer,12956,718654533,F,24,5,2,2,Single,0,12956,1.053,2492,56,0.931,0,9.38E-05,0.99991
Less than $40K,Blue,Graduate,47,5,Existing Customer,7128,716169258,F,39,3,3,4,Married,1560,5568,0.573,1468,44,0.76,0.219,0.00053272,0.99947
$80K - $120K,Blue,Unknown,51,1,Existing Customer,18749,713908683,M,41,6,2,2,Single,1314,17435,0.711,1381,33,0.435,0.07,0.00011743,0.99988
Less than $40K,Blue,Graduate,38,3,Existing Customer,2193,708212658,F,18,6,3,2,Married,1260,933,0.886,1799,47,0.567,0.575,0.00018665,0.99981
$80K - $120K,Blue,Doctorate,57,3,Existing Customer,4522,756013833,M,50,3,2,3,Married,1861,2661,0.957,1806,38,0.727,0.412,0.00028744,0.99971
$40K - $60K,Blue,Uneducated,36,4,Existing Customer,2157,719358333,M,28,3,1,4,Married,574,1583,0.825,1663,33,0.32,0.266,0.00017042,0.99983
$80K - $120K,Blue,Uneducated,35,3,Existing Customer,11927,713735508,M,25,3,1,2,Married,675,11252,0.574,1986,36,0.636,0.057,5.88E-05,0.99994
Unknown,Blue,Unknown,55,2,Existing Customer,11341,805259733,F,50,6,1,4,Married,0,11341,0.412,1731,46,0.586,0,0.00017371,0.99983
Unknown,Blue,Doctorate,57,4,Existing Customer,7345,738749733,F,47,4,3,3,Married,1814,5531,0.472,1390,30,0.25,0.247,0.00045905,0.99954
$60K - $80K,Blue,Doctorate,56,2,Existing Customer,6036,814833408,M,51,3,3,4,Married,1409,4627,0.56,1741,45,0.364,0.233,0.00074656,0.99925
Less than $40K,Blue,High School,38,2,Existing Customer,2096,719182308,F,27,6,1,3,Single,1567,529,0.778,1559,49,1.042,0.748,9.01E-05,0.99991
Less than $40K,Blue,Graduate,54,3,Existing Customer,1906,818497758,F,49,4,1,3,Married,1271,635,0.574,1343,37,0.682,0.667,9.61E-05,0.9999
$80K - $120K,Blue,Unknown,48,2,Existing Customer,5039,719518308,M,35,5,2,4,Unknown,0,5039,0.757,1390,23,0.769,0,0.00035894,0.99964
$80K - $120K,Blue,Graduate,53,1,Attrited Customer,6214,709991883,M,42,2,1,2,Married,1147,5067,0.861,938,35,0.75,0.185,0.98102,0.01898
Less than $40K,Blue,Graduate,30,1,Existing Customer,1512,770901258,F,17,3,1,3,Married,810,702,1.294,2558,44,0.571,0.536,8.70E-05,0.99991
$80K - $120K,Silver,Uneducated,47,2,Existing Customer,34516,711499158,M,38,4,3,4,Married,733,33783,1.229,3018,60,0.538,0.021,0.0004794,0.99952
Less than $40K,Blue,College,60,1,Existing Customer,3346,720445533,F,53,4,3,3,Married,922,2424,0.913,1276,21,0.75,0.276,0.00027607,0.99972
$120K +,Blue,College,54,3,Attrited Customer,34516,809951133,M,49,3,2,3,Single,0,34516,1.203,2115,24,0.263,0,0.99485,0.00515
Less than $40K,Blue,Uneducated,37,2,Existing Customer,6660,714657108,F,28,5,2,4,Married,1362,5298,1.36,2660,51,0.759,0.205,0.00033577,0.99966
Less than $40K,Blue,Post-Graduate,32,1,Existing Customer,2234,789048858,F,20,5,2,3,Married,1865,369,0.732,2115,59,0.439,0.835,0.00021143,0.99979
Less than $40K,Blue,Uneducated,44,4,Existing Customer,9671,771816408,F,33,5,4,2,Married,704,8967,0.699,2955,66,0.941,0.073,0.0002344,0.99977
$40K - $60K,Blue,College,53,1,Existing Customer,6605,798158808,F,47,5,3,2,Single,1479,5126,0.739,2017,47,0.679,0.224,0.00016415,0.99984
$80K - $120K,Blue,High School,43,2,Existing Customer,3083,787685658,M,33,4,3,2,Divorced,1898,1185,1.042,1448,30,2,0.616,0.00017486,0.99983
Less than $40K,Blue,Graduate,49,2,Attrited Customer,5456,720141408,F,31,5,1,2,Single,951,4505,0.737,1096,27,0.588,0.174,0.98217,0.01783
Unknown,Blue,Unknown,38,4,Existing Customer,4394,788699808,F,14,4,1,2,Single,0,4394,0.889,1538,43,0.536,0,6.35E-05,0.99994
$40K - $60K,Blue,College,56,1,Existing Customer,4088,708216108,F,44,5,1,4,Married,1557,2531,1.248,2250,39,0.857,0.381,0.00014422,0.99986
$40K - $60K,Blue,Graduate,26,0,Existing Customer,3930,715074258,F,36,5,3,3,Single,0,3930,0.758,2067,42,0.355,0,0.0002596,0.99974
$60K - $80K,Blue,High School,58,1,Existing Customer,4188,771653583,M,46,3,2,4,Married,1147,3041,1.042,1276,25,1.083,0.274,0.00029799,0.9997
$60K - $80K,Blue,Unknown,33,1,Existing Customer,3637,717374358,M,22,3,3,0,Married,1998,1639,1.412,2161,56,0.931,0.549,6.85E-05,0.99993
$80K - $120K,Blue,High School,35,3,Existing Customer,11521,720836808,M,28,4,2,2,Single,1147,10374,1.023,2260,68,1.125,0.1,0.00011482,0.99989
$60K - $80K,Blue,High School,37,3,Existing Customer,2253,818701383,M,32,6,2,2,Married,1667,586,0.884,1641,45,0.667,0.74,0.00011482,0.99989
Unknown,Blue,Graduate,27,1,Existing Customer,2339,717277833,F,13,6,2,4,Single,2080,259,1.067,2294,45,0.452,0.889,0.00030653,0.99969
$80K - $120K,Blue,High School,43,4,Existing Customer,30503,778137108,M,37,6,1,2,Single,2517,27986,0.462,1860,47,0.306,0.083,5.62E-05,0.99994
$60K - $80K,Blue,Graduate,49,2,Existing Customer,4596,720973833,M,36,5,3,2,Divorced,0,4596,0.93,2872,62,0.722,0,0.00017987,0.99982
$80K - $120K,Blue,Uneducated,49,2,Attrited Customer,5701,768490458,M,43,1,3,3,Married,2517,3184,0.716,961,32,0.524,0.442,0.9968,0.00320374
Less than $40K,Blue,Graduate,39,3,Existing Customer,3221,751487358,F,32,5,6,3,Married,0,3221,0.678,1765,40,0.6,0,0.00024781,0.99975
Less than $40K,Blue,Uneducated,41,3,Existing Customer,3022,712742808,F,29,5,3,3,Married,1142,1880,0.403,1184,21,0.615,0.378,0.00032275,0.99968
Less than $40K,Blue,High School,32,0,Existing Customer,2699,712820208,F,36,5,2,4,Divorced,1609,1090,0.893,2141,56,0.806,0.596,0.00027243,0.99973
Less than $40K,Blue,Uneducated,58,1,Existing Customer,2210,794649858,F,39,3,3,3,Married,1624,586,0.627,1287,37,0.48,0.735,0.00029196,0.99971
$60K - $80K,Blue,Post-Graduate,56,2,Existing Customer,1438.3,755262933,M,49,5,3,4,Married,0,1438.3,0.77,1446,38,0.81,0,0.00060712,0.99939
Less than $40K,Blue,Graduate,37,2,Existing Customer,2041,709541433,M,36,3,3,4,Married,1687,354,0.677,1555,45,0.552,0.827,0.000516,0.99948
$120K +,Blue,High School,39,1,Existing Customer,3250,820622433,M,34,4,2,2,Married,1698,1552,0.767,2006,58,0.568,0.522,0.00010386,0.9999
$40K - $60K,Blue,Graduate,26,0,Existing Customer,1643,712586583,F,13,6,3,4,Single,1101,542,0.713,2152,50,0.471,0.67,0.00044282,0.99956
Unknown,Silver,Unknown,31,1,Existing Customer,34516,709816158,F,36,4,3,2,Single,0,34516,0.791,2183,60,1.069,0,0.00016768,0.99983
Unknown,Blue,High School,46,3,Attrited Customer,29543,712196508,F,34,4,3,3,Single,1164,28379,0.717,1015,27,0.35,0.039,0.99673,0.00326528
$120K +,Blue,College,36,2,Existing Customer,3158,767269908,M,29,6,3,2,Married,0,3158,1.209,2973,63,0.969,0,0.00017488,0.99983
$80K - $120K,Blue,Unknown,39,1,Existing Customer,2899,710927733,M,36,6,2,3,Married,1999,900,0.832,1687,35,0.591,0.69,0.00019751,0.9998
Less than $40K,Blue,College,53,4,Existing Customer,2972,711310908,F,36,4,1,3,Married,2160,812,0.956,2552,62,0.676,0.727,9.45E-05,0.99991
Less than $40K,Blue,Uneducated,38,3,Existing Customer,5645,788862333,F,23,6,2,2,Married,0,5645,1.05,1527,32,0.455,0,0.00012144,0.99988
Less than $40K,Blue,Graduate,37,2,Existing Customer,2463,713194608,M,36,6,3,2,Married,1751,712,0.854,2171,58,0.758,0.711,0.00017987,0.99982
Less than $40K,Blue,Graduate,47,2,Existing Customer,1438.3,793550958,F,41,5,3,4,Married,0,1438.3,0.8,1501,40,0.739,0,0.000516,0.99948
$80K - $120K,Blue,College,56,1,Existing Customer,34516,712607583,M,36,3,3,3,Divorced,1477,33039,1.234,2395,50,0.724,0.043,0.00027607,0.99972
Less than $40K,Blue,High School,55,3,Existing Customer,2897,713921058,F,48,6,2,2,Married,1601,1296,0.878,1337,25,0.471,0.553,0.00011482,0.99989
Less than $40K,Blue,Uneducated,31,0,Existing Customer,5391,709183683,F,36,4,2,0,Single,0,5391,1.075,1971,56,0.6,0,3.70E-05,0.99996
Unknown,Blue,Graduate,62,0,Existing Customer,2870,713407458,F,36,5,2,4,Single,2284,586,0.661,3946,74,0.574,0.796,0.00028024,0.99972
$120K +,Blue,High School,34,3,Existing Customer,23959,715241583,M,25,3,2,4,Married,2517,21442,0.926,1870,45,0.667,0.105,0.00032942,0.99967
$60K - $80K,Blue,High School,33,3,Existing Customer,14918,710475408,M,25,5,2,2,Married,2028,12890,1.342,2171,35,1.059,0.136,0.00011482,0.99989
Less than $40K,Blue,Uneducated,38,2,Existing Customer,3590,708971583,F,29,3,3,2,Single,1924,1666,0.573,1472,37,0.762,0.536,0.00018494,0.99982
$40K - $60K,Blue,Graduate,65,0,Existing Customer,2297,714547458,M,56,3,3,2,Married,0,2297,0.511,1941,51,0.417,0,0.00015435,0.99985
$80K - $120K,Blue,High School,57,1,Existing Customer,25058,827631483,M,53,3,2,4,Married,1710,23348,0.613,2053,55,0.528,0.068,0.00029799,0.9997
Less than $40K,Blue,High School,58,0,Attrited Customer,7418,711159108,F,36,3,2,2,Married,396,7022,0.826,911,26,1,0.053,0.98958,0.01042
$40K - $60K,Blue,Unknown,60,1,Existing Customer,3012,789262683,M,49,4,3,2,Divorced,0,3012,0.538,1315,23,0.278,0,0.00018558,0.99981
$40K - $60K,Blue,Unknown,39,3,Existing Customer,4562,712940508,M,24,3,1,4,Single,1721,2841,0.896,1896,50,1.5,0.377,0.00018025,0.99982
Unknown,Blue,High School,39,2,Existing Customer,10723,789733008,F,27,6,2,2,Married,1529,9194,1.426,2938,63,0.703,0.143,0.00011065,0.99989
Less than $40K,Blue,High School,39,2,Existing Customer,1578,714703158,F,36,6,2,3,Married,760,818,0.709,2017,43,0.955,0.482,0.0001861,0.99981
Less than $40K,Blue,Uneducated,60,0,Existing Customer,2094,710255208,M,49,4,2,4,Married,1560,534,0.537,1969,41,0.367,0.745,0.00028814,0.99971
Less than $40K,Blue,High School,37,3,Existing Customer,4138,779236083,F,19,5,1,3,Married,0,4138,1.168,2420,50,0.613,0,9.34E-05,0.99991
Unknown,Blue,Graduate,41,4,Existing Customer,5417,713438358,F,30,3,1,2,Married,1904,3513,0.496,1768,56,0.556,0.351,5.78E-05,0.99994
$120K +,Blue,Uneducated,56,3,Existing Customer,34516,715973583,M,36,6,3,3,Married,1047,33469,0.61,1378,30,0.429,0.03,0.00032275,0.99968
$60K - $80K,Blue,High School,60,0,Existing Customer,9592,794113758,M,54,6,1,2,Married,1968,7624,0.61,1821,55,0.447,0.205,4.59E-05,0.99995
Less than $40K,Blue,High School,56,4,Existing Customer,8881,709452633,F,36,3,1,3,Single,2145,6736,0.705,2027,49,0.815,0.242,9.44E-05,0.99991
$40K - $60K,Blue,College,62,0,Existing Customer,1438.3,788210583,M,54,3,3,4,Married,0,1438.3,0.795,1843,49,0.581,0,0.00043053,0.99957
Less than $40K,Blue,Uneducated,41,2,Existing Customer,3893,717784983,F,33,3,3,3,Married,1157,2736,1.169,1536,39,0.773,0.297,0.00031104,0.99969
Less than $40K,Blue,Unknown,44,1,Existing Customer,3242,786557358,F,38,5,2,4,Married,799,2443,0.459,1424,37,0.028,0.246,0.00033692,0.99966
$40K - $60K,Blue,Graduate,59,1,Existing Customer,6035,768460908,M,53,3,3,3,Single,1392,4643,0.361,1551,32,0.6,0.231,0.00028395,0.99972
Unknown,Blue,College,55,1,Existing Customer,17642,718899708,F,36,6,3,2,Married,1846,15796,0.72,2148,54,0.862,0.105,0.00016415,0.99984
$60K - $80K,Blue,High School,26,1,Existing Customer,4327,714697533,M,15,6,3,3,Single,0,4327,0.624,2344,48,0.297,0,0.00027604,0.99972
$80K - $120K,Silver,Graduate,40,4,Attrited Customer,34516,713206683,M,22,3,1,3,Single,0,34516,0.64,1028,26,0.3,0,0.98874,0.01126
Less than $40K,Blue,Unknown,44,2,Existing Customer,4852,708679383,F,32,5,1,3,Unknown,1777,3075,0.667,1775,55,1.037,0.366,0.00010183,0.9999
Unknown,Blue,Uneducated,37,2,Existing Customer,7147,713067033,M,28,5,3,3,Single,1424,5723,0.821,2539,50,1.273,0.199,0.00031104,0.99969
$60K - $80K,Blue,High School,37,1,Existing Customer,10320,789314133,M,27,6,3,3,Married,1799,8521,0.75,1754,45,0.5,0.174,0.00027604,0.99972
Less than $40K,Blue,Graduate,65,0,Existing Customer,3297,713956308,F,49,4,2,2,Married,2297,1000,0.744,1894,56,0.556,0.697,9.77E-05,0.9999
$60K - $80K,Blue,College,46,3,Existing Customer,9981,711595833,M,36,5,2,2,Married,807,9174,0.655,1456,30,0.667,0.081,0.00011483,0.99989
$120K +,Blue,High School,53,2,Existing Customer,3329,779521533,M,36,5,3,3,Married,1092,2237,1.466,1978,33,0.833,0.328,0.00029408,0.99971
Less than $40K,Blue,Uneducated,56,1,Existing Customer,5991,715225458,F,36,6,3,4,Married,1993,3998,0.673,1867,53,0.767,0.333,0.000498,0.9995
$40K - $60K,Blue,Graduate,48,3,Existing Customer,3235,716487408,M,30,3,1,3,Married,2517,718,1.091,1637,43,0.87,0.778,9.61E-05,0.9999
$120K +,Blue,High School,34,2,Existing Customer,6259,719338383,M,21,3,3,3,Married,1063,5196,0.668,1836,50,0.515,0.17,0.00029408,0.99971
Less than $40K,Blue,Graduate,65,0,Existing Customer,2541,710523333,M,56,6,3,2,Married,1616,925,0.417,1416,27,0.588,0.636,0.00015435,0.99985
$80K - $120K,Blue,Post-Graduate,55,4,Existing Customer,21351,787489083,M,43,6,2,4,Married,2517,18834,0.818,1887,32,0.882,0.118,0.00040297,0.9996
$40K - $60K,Blue,Unknown,32,1,Existing Customer,8998,720747633,M,36,3,2,4,Married,1471,7527,0.844,1931,48,0.371,0.163,0.00033692,0.99966
Unknown,Blue,Graduate,58,4,Existing Customer,10247,779480658,F,42,3,3,4,Married,1600,8647,0.63,1754,44,0.692,0.156,0.00054115,0.99946
$120K +,Blue,High School,54,3,Existing Customer,20311,711498258,M,42,6,3,2,Married,1655,18656,0.431,1266,34,0.308,0.081,0.00018145,0.99982
$60K - $80K,Silver,High School,52,2,Existing Customer,33182,709316433,M,33,6,1,4,Single,1997,31185,0.755,1630,43,0.87,0.06,0.00013882,0.99986
$60K - $80K,Blue,Uneducated,36,3,Existing Customer,1686,778734108,M,16,4,5,4,Married,1252,434,0.575,1758,42,1.1,0.743,0.00061486,0.99939
$60K - $80K,Blue,Graduate,56,3,Attrited Customer,4742,778388358,M,36,2,2,3,Single,855,3887,0.635,870,24,0.5,0.18,0.99499,0.00501
$60K - $80K,Blue,Graduate,33,3,Existing Customer,1726,716773533,M,36,5,1,3,Married,1215,511,1.175,1712,48,0.548,0.704,9.61E-05,0.9999
$80K - $120K,Blue,Graduate,61,0,Existing Customer,8420,822130683,M,56,4,2,4,Married,1389,7031,0.522,1114,34,0.545,0.165,0.00028024,0.99972
